Project_ID,Client_ID,Start_Date,End_Date,Budget_Hours,Project_Value,Status
P001,C014,2025-02-27,2025-06-21,199.0,51650.0,Delayed
P002,C008,2025-03-30,2025-08-13,680.0,128028.0,Completed
P003,C002,2025-03-23,2025-05-27,185.0,126259.0,On Hold
P004,C019,2025-01-07,2025-05-21,230.0,72875.0,Delayed
P005,C020,2025-04-07,2025-05-14,983.0,135011.0,Active
P006,C014,2025-02-10,2025-04-07,580.0,102020.0,On Hold
P007,C010,2025-11-08,2025-12-20,252.0,29883.0,Completed
P008,C002,2025-09-16,2025-11-12,610.0,93336.0,Active
P009,C013,2025-08-07,2026-01-01,627.0,79115.0,On Hold
P010,C017,2025-07-21,2025-11-09,831.0,12749.0,Completed
P011,C003,2025-10-10,2026-01-10,172.0,92908.0,Delayed
P012,C003,2025-05-08,2025-08-20,906.0,103249.0,Delayed
P013,C019,2025-10-09,2026-02-16,696.0,41023.0,Completed
P014,C010,2025-09-04,2025-10-07,120.0,83241.0,On Hold
P015,C016,2025-08-02,2026-01-15,194.0,52754.0,Delayed
P016,C003,2025-11-19,2026-01-08,175.0,135288.0,Delayed
P017,C014,2025-01-05,2025-03-11,299.0,64326.0,Completed
P018,C009,2025-05-22,2025-09-26,178.0,26047.0,Delayed
P019,C019,2025-02-13,2025-06-06,984.0,15903.0,Active
P020,C006,2025-03-23,2025-08-20,745.0,61510.0,Active
P021,C003,2025-09-13,2026-03-07,328.0,55697.0,On Hold
P022,C010,2025-02-26,2025-06-20,659.0,119846.0,Delayed
P024,C012,2025-09-05,2025-12-14,875.0,69966.0,Completed
P025,C017,2025-09-25,2025-12-05,183.0,93459.0,Completed
P026,C005,2025-04-16,2025-05-18,543.0,56128.0,Completed
P027,C005,2025-06-12,2025-10-27,372.0,52830.0,Active
P028,C005,2025-11-26,2026-02-01,698.0,50110.0,Active
P030,C008,2025-03-11,2025-06-29,693.0,119300.0,Active
P031,C012,2025-04-19,2025-07-19,149.0,61982.0,Completed
P032,C011,2025-11-01,2026-01-22,377.0,94062.0,On Hold
P033,C002,2025-09-28,2026-02-11,644.0,89765.0,Delayed
P034,C013,2025-11-29,2026-01-06,939.0,10096.0,Active
P035,C005,2025-11-05,2026-04-20,538.0,83295.0,Active
P036,C001,2025-03-08,2025-05-20,489.0,80669.0,On Hold
P037,C010,2025-12-03,2026-02-22,848.0,41700.0,Completed
P038,C002,2025-01-10,2025-07-01,387.0,87465.0,Delayed
P040,C016,2025-12-02,2026-05-07,919.0,25827.0,On Hold
P041,C001,2025-10-29,2025-12-12,946.0,54572.0,Active
P042,C005,2025-09-14,2025-11-03,499.0,119447.0,Completed
P043,C014,2025-11-18,2025-12-23,294.0,16833.0,Active
P044,C005,2025-04-07,2025-08-08,376.0,136094.0,Completed
P045,C020,2025-12-05,2026-05-08,225.0,106658.0,Active
