Log_ID,Employee_ID,Project_ID,Date,Hours_Worked,Billable
L0001,E025,P036,2025-10-21,7.0,Yes
L0002,E021,P080,2025-08-16,7.0,Yes
L0004,E028,P057,2025-07-29,2.0,No
L0007,E014,P065,2025-12-01,10.0,No
L0008,E040,P093,2025-05-10,2.0,No
L0009,E033,P036,2025-04-02,2.0,Yes
L0010,E018,P046,2025-03-18,10.0,No
L0011,E043,P086,2025-07-02,8.0,No
L0013,E045,P007,2025-07-18,6.0,No
L0014,E038,P086,2025-06-27,10.0,No
L0016,E020,P088,2025-04-25,1.0,Yes
L0018,E028,P066,2025-06-12,1.0,No
L0019,E011,P098,2025-09-19,3.0,Yes
L0020,E008,P060,2025-07-19,4.0,Yes
L0110,E049,P026,2025-03-02,8.0,No
L0023,E038,P006,2025-05-12,2.0,No
L0024,E001,P078,2025-03-23,4.0,No
L0025,E040,P058,2025-04-18,9.0,No
L0029,E021,P009,2025-03-31,7.0,Yes
L0030,E045,P099,2025-11-19,5.0,Yes
L0031,E003,P047,2025-09-29,8.0,Yes
L0032,E048,P096,2025-07-20,3.0,No
L0033,E050,P007,2025-12-18,4.0,No
L0034,E014,P078,2025-12-09,1.0,No
L0035,E015,P030,2025-05-22,1.0,Yes
L0037,E040,P092,2025-09-27,7.0,No
L0038,E036,P057,2025-01-27,7.0,No
L0040,E023,P022,2025-03-06,6.0,No
L0041,E030,P094,2025-09-06,10.0,No
L0042,E001,P003,2025-02-04,5.0,No
E020,E038,P024,2025-01-30,4.0,No
L0044,E015,P092,2025-03-30,6.0,Yes
L0045,E003,P068,2025-05-25,1.0,No
L0046,E034,P055,2025-06-15,9.0,No
L0048,E024,P081,2025-01-08,4.0,Yes
L0049,E016,P069,2025-02-18,6.0,Yes
L0050,E007,P026,2025-02-23,8.0,Yes
L0052,E002,P014,2025-06-20,3.0,No
L0053,E043,P061,2025-09-10,4.0,Yes
L0054,E002,P090,2025-07-27,9.0,No
L0055,E021,P057,2025-06-18,4.0,Yes
L0056,E039,P082,2025-10-03,4.0,No
L0059,E038,P006,2025-10-28,2.0,No
L0061,E037,P079,2025-04-23,7.0,No
L0062,E038,P008,2025-07-26,6.0,No
L0063,E001,P057,2025-04-28,2.0,No
L0064,E008,P050,2025-12-20,3.0,Yes
L0066,E046,P031,2025-04-10,5.0,Yes
L0068,E045,P080,2025-06-06,5.0,Yes
L0070,E045,P069,2025-04-14,6.0,No
L0071,E043,P093,2025-12-30,8.0,No
L0072,E006,P069,2025-12-20,8.0,Yes
L0073,E031,P078,2025-04-18,4.0,No
L0074,E037,P010,2025-11-09,5.0,No
L0075,E027,P087,2025-05-11,4.0,No
L0076,E005,P001,2025-06-14,2.0,No
L0077,E046,P015,2025-04-11,10.0,Yes
L0078,E032,P095,2025-01-04,4.0,No
L0079,E038,P031,2025-01-14,10.0,Yes
L0080,E031,P013,2025-03-15,8.0,No
L0081,E034,P020,2025-05-19,3.0,Yes
L0082,E050,P065,2025-11-20,5.0,Yes
L0083,E003,P088,2025-05-03,1.0,Yes
L0084,E006,P043,2025-04-15,7.0,No
L0086,E034,P031,2025-10-31,7.0,No
L0087,E020,P080,2025-09-21,6.0,No
L0088,E038,P026,2025-11-06,9.0,Yes
L0089,E027,P084,2025-04-03,8.0,No
L0090,E031,P002,2025-05-19,6.0,No
L0091,E032,P028,2025-08-30,6.0,Yes
L0092,E013,P020,2025-04-12,8.0,Yes
L0093,E030,P021,2025-01-23,7.0,No
L0095,E004,P015,2025-04-28,6.0,No
L0096,E040,P054,2025-03-08,2.0,No
L0097,E040,P094,2025-04-09,1.0,Yes
L0098,E041,P094,2025-06-08,6.0,Yes
L0099,E027,P084,2025-01-09,6.0,No
L0100,E001,P064,2025-10-07,2.0,No
L0101,E039,P083,2025-11-18,10.0,No
L0102,E027,P031,2025-11-27,8.0,No
L0105,E046,P066,2025-03-28,5.0,No
L0106,E007,P017,2025-08-18,10.0,No
L0108,E034,P021,2025-06-02,3.0,Yes
L0109,E032,P014,2025-11-01,9.0,No
L0110,E046,P090,2025-11-02,4.0,No
L0111,E037,P006,2025-09-23,5.0,No
L0112,E041,P033,2025-08-25,7.0,Yes
L0114,E008,P026,2025-03-08,1.0,Yes
L0116,E041,P051,2025-12-02,3.0,Yes
L0117,E041,P009,2025-07-12,9.0,No
L0118,E015,P025,2025-10-20,9.0,Yes
L0119,E041,P003,2025-03-18,3.0,No
L0120,E003,P072,2025-12-20,1.0,No
L0121,E018,P083,2025-03-13,9.0,No
L0122,E016,P075,2025-06-20,3.0,Yes
L0123,E044,P046,2025-02-25,4.0,No
L0124,E039,P022,2025-04-05,4.0,No
L0125,E037,P079,2025-01-25,2.0,Yes
L0126,E003,P059,2025-09-29,3.0,No
L0127,E027,P083,2025-10-14,10.0,Yes
L0128,E009,P056,2025-06-21,5.0,Yes
L0129,E007,P016,2025-10-18,5.0,No
L0130,E009,P012,2025-06-28,8.0,Yes
L0131,E020,P047,2025-08-22,7.0,No
L0132,E039,P021,2025-04-24,4.0,No
L0133,E018,P027,2025-04-05,8.0,No
L0134,E048,P053,2025-09-01,8.0,No
L0136,E037,P031,2025-04-04,3.0,Yes
L0137,E026,P065,2025-06-15,4.0,No
L0138,E021,P066,2025-04-14,1.0,No
L0139,E033,P078,2025-05-11,8.0,Yes
L0140,E043,P069,2025-01-21,4.0,Yes
L0141,E009,P028,2025-06-16,10.0,Yes
L0142,E020,P075,2025-02-14,1.0,No
L0143,E011,P042,2025-05-16,2.0,Yes
L0144,E046,P078,2025-07-06,5.0,No
L0146,E014,P037,2025-03-20,10.0,No
L0147,E040,P044,2025-11-29,3.0,Yes
L0148,E036,P056,2025-12-16,4.0,No
L0149,E014,P053,2025-05-06,7.0,No
L0150,E042,P005,2025-03-08,10.0,No
L0151,E046,P007,2025-05-19,9.0,No
L0152,E026,P089,2025-04-08,4.0,Yes
L0153,E036,P016,2025-06-02,5.0,Yes
L0154,E018,P097,2025-10-30,8.0,No
L0155,E008,P044,2025-11-27,9.0,Yes
L0156,E005,P055,2025-12-26,6.0,Yes
L0158,E029,P061,2025-06-05,8.0,Yes
L0159,E015,P004,2025-05-30,2.0,No
L0160,E029,P038,2025-08-17,4.0,No
L0161,E036,P070,2025-02-23,1.0,No
L0162,E002,P008,2025-04-14,2.0,Yes
L0163,E015,P067,2025-03-12,6.0,No
L0164,E040,P056,2025-06-10,6.0,No
L0165,E049,P053,2025-06-21,6.0,No
L0166,E036,P082,2025-07-13,3.0,Yes
L0167,E023,P091,2025-05-09,1.0,Yes
L0168,E002,P084,2025-07-17,9.0,Yes
L0169,E008,P080,2025-08-30,4.0,No
L0170,E048,P026,2025-03-08,6.0,Yes
L0171,E045,P076,2025-01-01,2.0,Yes
L0174,E004,P086,2025-10-26,2.0,No
L0175,E003,P002,2025-08-19,3.0,No
L0176,E004,P037,2025-01-13,4.0,Yes
L0177,E029,P092,2025-04-25,9.0,Yes
L0178,E006,P015,2025-08-12,1.0,No
L0179,E040,P051,2025-07-08,4.0,Yes
L0180,E003,P094,2025-08-19,2.0,No
L0182,E027,P026,2025-09-27,4.0,No
L0183,E023,P090,2025-08-23,10.0,Yes
L0184,E024,P068,2025-03-25,3.0,Yes
L0185,E025,P076,2025-01-18,3.0,No
L0187,E023,P091,2025-04-17,4.0,No
L0188,E006,P017,2025-01-08,3.0,No
L0190,E047,P055,2025-03-31,3.0,Yes
L0191,E011,P038,2025-08-23,7.0,No
L0192,E031,P022,2025-06-09,10.0,Yes
L0193,E023,P091,2025-01-12,7.0,Yes
L0194,E039,P088,2025-09-04,6.0,No
L0195,E009,P021,2025-12-21,2.0,No
L0196,E021,P059,2025-12-24,2.0,Yes
L0197,E040,P019,2025-04-18,6.0,No
L0198,E047,P026,2025-09-20,2.0,Yes
L0199,E044,P052,2025-12-08,10.0,Yes
L0200,E002,P052,2025-01-16,1.0,Yes
L0201,E034,P069,2025-08-09,3.0,No
L0202,E026,P007,2025-04-02,2.0,No
L0203,E014,P031,2025-01-15,10.0,Yes
L0204,E039,P096,2025-10-28,1.0,No
L0205,E031,P099,2025-06-26,10.0,No
L0207,E038,P060,2025-06-15,5.0,No
L0208,E006,P077,2025-10-08,1.0,Yes
L0209,E027,P069,2025-11-14,1.0,Yes
L0210,E028,P081,2025-09-15,2.0,Yes
L0211,E050,P098,2025-02-17,3.0,Yes
L0213,E008,P100,2025-04-12,2.0,Yes
L0214,E019,P048,2025-07-09,5.0,No
L0215,E050,P095,2025-05-15,1.0,No
L0216,E025,P065,2025-12-31,3.0,Yes
L0217,E049,P076,2025-11-20,9.0,Yes
L0218,E026,P025,2025-04-05,7.0,Yes
L0219,E040,P004,2025-11-03,6.0,Yes
L0220,E035,P068,2025-03-17,3.0,No
L0221,E040,P034,2025-04-30,8.0,No
L0222,E042,P004,2025-04-26,8.0,Yes
L0223,E015,P046,2025-01-19,1.0,No
L0225,E024,P015,2025-11-15,2.0,No
L0228,E026,P077,2025-04-27,5.0,No
L0229,E023,P043,2025-08-01,6.0,Yes
L0230,E029,P053,2025-03-07,7.0,Yes
L0231,E003,P019,2025-12-08,2.0,No
L0232,E045,P012,2025-01-13,1.0,Yes
L0233,E042,P067,2025-06-05,6.0,Yes
L0234,E040,P036,2025-07-30,7.0,Yes
L0235,E048,P021,2025-04-27,2.0,No
L0236,E042,P002,2025-03-07,5.0,No
L0237,E009,P059,2025-10-12,1.0,No
L0238,E033,P080,2025-06-06,9.0,No
L0239,E032,P086,2025-08-26,1.0,No
L0240,E047,P040,2025-09-13,3.0,No
L0241,E048,P036,2025-12-05,10.0,Yes
L0242,E037,P051,2025-11-09,8.0,No
L0243,E013,P014,2025-05-03,2.0,Yes
L0244,E011,P013,2025-10-17,7.0,Yes
L0245,E002,P037,2025-08-11,3.0,No
L0246,E043,P012,2025-01-03,9.0,No
L0247,E003,P035,2025-05-10,10.0,No
L0248,E050,P096,2025-03-28,9.0,No
L0249,E005,P041,2025-02-23,10.0,No
L0250,E029,P081,2025-10-17,9.0,No
L0251,E032,P057,2025-03-30,5.0,Yes
L0252,E011,P006,2025-10-29,1.0,No
L0253,E035,P087,2025-11-04,2.0,Yes
L0254,E021,P074,2025-07-16,2.0,Yes
L0255,E002,P062,2025-01-02,1.0,No
L0256,E046,P044,2025-03-09,8.0,No
L0257,E020,P031,2025-03-10,4.0,No
L0258,E028,P020,2025-12-14,7.0,Yes
L0200,E005,P012,2025-03-15,8.0,Yes
L0260,E013,P043,2025-02-11,1.0,Yes
L0261,E013,P041,2025-02-20,6.0,No
L0263,E024,P086,2025-07-10,6.0,No
L0264,E003,P021,2025-09-20,1.0,Yes
L0265,E028,P040,2025-11-01,3.0,No
L0266,E049,P089,2025-03-14,8.0,Yes
L0267,E044,P054,2025-03-09,8.0,No
L0268,E047,P067,2025-12-24,1.0,Yes
L0269,E043,P022,2025-05-12,6.0,Yes
L0270,E038,P052,2025-01-02,2.0,Yes
L0271,E008,P003,2025-04-19,2.0,Yes
L0272,E002,P064,2025-09-12,9.0,Yes
L0273,E040,P099,2025-02-16,1.0,Yes
L0275,E032,P032,2025-02-16,6.0,Yes
L0277,E001,P076,2025-11-04,2.0,No
L0278,E026,P054,2025-08-08,2.0,No
L0279,E005,P054,2025-12-08,10.0,No
L0280,E020,P088,2025-05-25,2.0,Yes
L0282,E026,P068,2025-04-06,6.0,Yes
L0283,E036,P058,2025-07-24,5.0,Yes
L0297,E030,P017,2025-06-29,4.0,Yes
L0285,E037,P099,2025-01-10,3.0,No
L0286,E029,P007,2025-12-12,7.0,No
L0287,E028,P011,2025-07-29,6.0,Yes
L0288,E020,P062,2025-03-03,5.0,Yes
L0289,E014,P056,2025-09-16,4.0,Yes
L0290,E037,P018,2025-12-31,10.0,No
L0291,E007,P061,2025-10-20,8.0,Yes
L0292,E016,P032,2025-03-19,2.0,No
L0293,E045,P017,2025-02-20,2.0,Yes
L0294,E015,P005,2025-12-07,7.0,No
L0295,E007,P096,2025-03-25,9.0,Yes
L0296,E019,P013,2025-04-11,9.0,No
L0298,E023,P080,2025-03-27,10.0,No
L0299,E018,P081,2025-04-12,4.0,Yes
L0300,E005,P015,2025-02-02,5.0,Yes
L0301,E016,P083,2025-08-15,5.0,Yes
L0302,E021,P087,2025-05-18,3.0,Yes
L0303,E001,P062,2025-03-24,9.0,No
L0304,E040,P058,2025-11-26,3.0,No
L0305,E016,P078,2025-10-02,8.0,Yes
L0306,E003,P086,2025-02-15,1.0,Yes
L0307,E021,P084,2025-04-04,1.0,No
L0308,E032,P016,2025-05-23,10.0,No
L0310,E005,P059,2025-03-01,2.0,Yes
L0312,E033,P047,2025-05-06,4.0,No
L0313,E005,P036,2025-07-10,6.0,Yes
L0315,E032,P013,2025-03-12,2.0,No
L0316,E037,P081,2025-09-21,5.0,Yes
L0317,E029,P086,2025-08-20,8.0,Yes
L0318,E049,P056,2025-07-30,3.0,Yes
L0320,E009,P077,2025-10-11,8.0,Yes
L0321,E020,P089,2025-09-22,5.0,Yes
L0322,E002,P085,2025-11-02,4.0,No
L0323,E021,P097,2025-09-12,6.0,Yes
L0324,E016,P006,2025-01-14,1.0,Yes
L0325,E007,P071,2025-10-20,4.0,No
L0326,E044,P017,2025-11-02,2.0,Yes
L0327,E050,P062,2025-03-24,5.0,No
L0328,E025,P080,2025-12-15,9.0,Yes
L0329,E007,P099,2025-01-06,8.0,Yes
L0330,E040,P090,2025-01-19,5.0,Yes
L0331,E018,P058,2025-05-02,6.0,No
L0332,E025,P064,2025-02-27,6.0,No
L0333,E026,P005,2025-06-13,6.0,Yes
L0334,E032,P100,2025-01-19,3.0,No
L0335,E038,P087,2025-10-22,5.0,No
L0337,E004,P087,2025-06-04,1.0,No
L0338,E037,P057,2025-09-22,2.0,No
L0339,E013,P031,2025-09-02,8.0,Yes
L0340,E008,P061,2025-08-18,8.0,Yes
L0341,E045,P063,2025-05-07,10.0,No
L0342,E005,P091,2025-06-05,10.0,No
L0343,E006,P083,2025-03-29,9.0,No
L0344,E023,P044,2025-04-02,6.0,No
L0345,E023,P084,2025-02-27,6.0,Yes
L0346,E002,P063,2025-09-02,6.0,Yes
L0347,E047,P001,2025-03-09,1.0,No
L0348,E047,P076,2025-06-03,9.0,Yes
L0349,E028,P005,2025-06-13,8.0,No
L0351,E019,P058,2025-02-02,4.0,No
L0352,E043,P024,2025-06-24,1.0,No
L0353,E013,P025,2025-11-05,3.0,Yes
L0356,E003,P015,2025-01-19,5.0,No
L0358,E031,P011,2025-03-18,5.0,No
L0359,E031,P066,2025-10-02,10.0,Yes
L0360,E033,P076,2025-10-12,6.0,Yes
L0362,E003,P037,2025-11-15,10.0,Yes
L0364,E009,P070,2025-08-15,1.0,No
L0365,E016,P045,2025-05-29,8.0,Yes
L0366,E020,P010,2025-04-04,5.0,No
L0368,E044,P061,2025-03-11,4.0,Yes
L0369,E028,P061,2025-03-28,10.0,No
L0370,E026,P064,2025-10-04,2.0,No
L0371,E025,P089,2025-08-01,8.0,No
L0372,E006,P021,2025-04-12,5.0,No
L0373,E001,P043,2025-10-24,2.0,No
L0374,E030,P008,2025-12-11,9.0,Yes
L0375,E039,P015,2025-03-01,3.0,No
L0378,E014,P025,2025-12-23,1.0,Yes
L0380,E031,P040,2025-07-16,7.0,Yes
L0381,E048,P028,2025-04-18,4.0,Yes
L0382,E007,P022,2025-11-18,10.0,No
L0383,E021,P021,2025-01-08,3.0,Yes
L0384,E042,P069,2025-06-20,7.0,Yes
L0385,E049,P036,2025-12-19,4.0,No
L0386,E013,P086,2025-04-09,2.0,No
L0387,E028,P078,2025-10-19,3.0,Yes
L0389,E046,P054,2025-12-21,5.0,Yes
L0390,E037,P033,2025-10-16,5.0,No
L0391,E046,P027,2025-10-02,7.0,Yes
L0392,E006,P074,2025-06-17,9.0,No
L0393,E030,P088,2025-02-11,7.0,Yes
L0394,E038,P031,2025-02-03,9.0,No
L0395,E050,P079,2025-05-09,10.0,No
L0396,E002,P097,2025-07-18,3.0,Yes
L0397,E009,P001,2025-12-28,10.0,No
L0399,E028,P051,2025-12-29,3.0,No
L0400,E027,P046,2025-07-04,9.0,No
L0401,E020,P100,2025-09-12,4.0,No
L0403,E036,P096,2025-03-22,9.0,No
L0404,E023,P004,2025-07-14,10.0,No
L0405,E047,P090,2025-06-15,4.0,Yes
L0406,E046,P047,2025-11-14,7.0,Yes
L0407,E024,P016,2025-10-18,10.0,No
L0408,E033,P003,2025-11-08,3.0,Yes
L0409,E028,P012,2025-02-02,7.0,No
L0410,E038,P027,2025-12-18,10.0,No
L0411,E040,P017,2025-01-12,8.0,Yes
L0412,E002,P061,2025-06-02,4.0,Yes
L0413,E002,P002,2025-10-27,8.0,Yes
L0414,E036,P053,2025-01-02,9.0,No
L0415,E039,P061,2025-08-30,3.0,No
L0416,E021,P044,2025-06-13,5.0,Yes
L0417,E045,P015,2025-01-02,2.0,Yes
L0419,E024,P008,2025-06-10,8.0,Yes
L0420,E038,P069,2025-01-26,6.0,Yes
L0421,E050,P011,2025-05-23,8.0,No
L0422,E001,P100,2025-08-13,5.0,No
L0423,E028,P055,2025-02-21,1.0,Yes
L0424,E045,P055,2025-12-15,4.0,Yes
L0425,E049,P078,2025-04-11,1.0,No
L0426,E031,P002,2025-09-27,9.0,Yes
