Log_ID,Employee_ID,Project_ID,Date,Hours_Worked,Billable
L0001,E025,P036,21-10-2025,7,Yes
L0002,E021,P080,16-08-2025,7,Yes
,E024,P017,21-01-2025,5,No
L0004,E028,P057,29-07-2025,2,No
L0005,E012,P023,06-09-2025,1,Yes
L0006,E042,P049,26-10-2025,1,Yes
L0007,E014,P065,01-12-2025,10,No
L0008,E040,P093,10-05-2025,2,No
L0009,E033,P036,02-04-2025,2,Yes
L0010,E018,P046,18-03-2025,10,No
L0011,E043,P086,02-07-2025,8,No
L0012,E022,P030,10-07-2025,10,Yes
L0013,E045,P007,18-07-2025,6,No
L0014,E038,P086,27-06-2025,10,No
L0015,,,30-08-2025,8,Yes
L0016,E020,P088,25-04-2025,1,Yes
L0017,E003,P015,,4,No
L0018,E028,P066,12-06-2025,1,No
L0019,E011,P098,19-09-2025,3,Yes
L0020,E008,P060,19-07-2025,4,Yes
L0021,E017,P043,08-04-2025,3,No
L0110,E049,P026,02-03-2025,8,No
L0023,E038,P006,12-05-2025,2,No
L0024,E001,P078,23-03-2025,4,No
L0025,E040,P058,18-04-2025,9,No
L0026,E016,P004,16-05-2025,,No
L0027,E012,P008,13-12-2025,2,Yes
L0028,,P038,21-01-2025,,Yes
L0029,E021,P009,31-03-2025,7,Yes
L0030,E045,P099,19-11-2025,5,Yes
L0031,E003,P047,29-09-2025,8,Yes
L0032,E048,P096,20-07-2025,3,No
L0033,E050,P007,18-12-2025,4,No
L0034,E014,P078,09-12-2025,1,No
L0035,E015,P030,22-05-2025,1,Yes
L0036,E012,P054,07-01-2025,3,Yes
L0037,E040,P092,27-09-2025,7,No
L0038,E036,P057,27-01-2025,7,No
L0039,E030,P010,24-08-2025,8,
L0040,E023,P022,06-03-2025,6,No
L0041,E030,P094,06-09-2025,10,No
L0042,E001,P003,04-02-2025,5,No
E020,E038,P024,30-01-2025,4,No
L0044,E015,P092,30-03-2025,6,Yes
L0045,E003,P068,25-05-2025,1,No
L0046,E034,P055,15-06-2025,9,No
L0047,E001,P039,26-12-2025,9,No
L0048,E024,P081,08-01-2025,4,Yes
L0049,E016,P069,18-02-2025,6,Yes
L0050,E007,P026,23-02-2025,8,Yes
,E014,P073,22-03-2025,9,Yes
L0052,E002,P014,20-06-2025,3,No
L0053,E043,P061,10-09-2025,4,Yes
L0054,E002,P090,27-07-2025,9,No
L0055,E021,P057,18-06-2025,4,Yes
L0056,E039,P082,03-10-2025,4,No
L0057,E010,P091,10-09-2025,10,No
L0058,E003,P034,14-10-2025,5,
L0059,E038,P006,28-10-2025,2,No
L0060,E003,P029,05-03-2025,-1,No
L0061,E037,P079,23-04-2025,7,No
L0062,E038,P008,26-07-2025,6,No
L0063,E001,P057,28-04-2025,2,No
L0064,E008,P050,20-12-2025,3,Yes
L0065,E012,P035,11-12-2025,9,Yes
L0066,E046,P031,10-04-2025,5,Yes
L0067,E034,P041,19-02-2025,,No
L0068,E045,P080,06-06-2025,5,Yes
L0069,E010,P021,20-07-2025,4,Yes
L0070,E045,P069,14-04-2025,6,No
L0071,E043,P093,30-12-2025,8,No
L0072,E006,P069,20-12-2025,8,Yes
L0073,E031,P078,18-04-2025,4,No
L0074,E037,P010,09-11-2025,5,No
L0075,E027,P087,11-05-2025,4,No
L0076,E005,P001,14-06-2025,2,No
L0077,E046,P015,11-04-2025,10,Yes
L0078,E032,P095,04-01-2025,4,No
L0079,E038,P031,14-01-2025,10,Yes
L0080,E031,P013,15-03-2025,8,No
L0081,E034,P020,19-05-2025,3,Yes
L0082,E050,P065,20-11-2025,5,Yes
L0083,E003,P088,03-05-2025,1,Yes
L0084,E006,P043,15-04-2025,7,No
L0085,E012,P087,05-02-2025,9,No
L0086,E034,P031,31-10-2025,7,No
L0087,E020,P080,21-09-2025,6,No
L0088,E038,P026,06-11-2025,9,Yes
L0089,E027,P084,03-04-2025,8,No
L0090,E031,P002,19-05-2025,6,No
L0091,E032,P028,30-08-2025,6,Yes
L0092,E013,P020,12-04-2025,8,Yes
L0093,E030,P021,23-01-2025,7,No
L0094,E038,P023,07-11-2025,9,No
L0095,E004,P015,28-04-2025,6,No
L0096,E040,P054,08-03-2025,2,No
L0097,E040,P094,09-04-2025,1,Yes
L0098,E041,P094,08-06-2025,6,Yes
L0099,E027,P084,09-01-2025,6,No
